Town,log_price,Segment
Greenwich,14.25088728903626,Luxury
Darien,14.138878525172782,Luxury
New Canaan,14.120649003599542,Luxury
Westport,14.029759427050378,Luxury
Weston,13.725251232489134,Luxury
Wilton,13.583558988209441,Affordable
Roxbury,13.575741656507896,Affordable
Washington,13.453476026629424,Affordable
Easton,13.388110235827135,Affordable
Ridgefield,13.387376560170905,Affordable
Fairfield,13.356407883011492,Affordable
Redding,13.327047247837868,Affordable
Salisbury,13.269846181854676,Affordable
Warren,13.20142731297985,Affordable
Bridgewater,13.193288496037594,Affordable
Lyme,13.13501653621248,Affordable
Madison,13.132328469856349,Affordable
Sherman,13.074248914936325,Affordable
Stamford,13.070080555647761,Affordable
Cornwall,13.060346206560698,Affordable
Woodbridge,13.035327572985942,Affordable
Norwalk,12.993317356693687,Mid-Range
Sharon,12.991748812106037,Mid-Range
Essex,12.976932597464147,Mid-Range
Old Lyme,12.959197036262005,Mid-Range
Trumbull,12.95727101019018,Mid-Range
Newtown,12.928974197748312,Mid-Range
New Fairfield,12.911101199562975,Mid-Range
Orange,12.899411015125605,Mid-Range
Old Saybrook,12.892698294720336,Mid-Range
Goshen,12.883664812878546,Mid-Range
Avon,12.869121591974318,Mid-Range
Guilford,12.866915414632272,Mid-Range
Oxford,12.861170266129509,Mid-Range
Brookfield,12.84840690357125,Mid-Range
Kent,12.84479197800516,Mid-Range
Monroe,12.830026479614617,Mid-Range
Morris,12.811250215134617,Mid-Range
Middlebury,12.8012453795633,Mid-Range
Bethany,12.758736315934485,Mid-Range
Bethel,12.756993777074417,Mid-Range
Chester,12.744209695400952,Mid-Range
Burlington,12.743554241483542,Mid-Range
Norfolk,12.74189904297015,Mid-Range
Bethlehem,12.716875705040511,Mid-Range
Glastonbury,12.716456131027698,Mid-Range
Litchfield,12.710230430129476,Mid-Range
Durham,12.689862640984963,Mid-Range
West Hartford,12.68782513475767,Mid-Range
Shelton,12.676494698013009,Mid-Range
Canaan,12.676095754759768,Mid-Range
Stonington,12.664910132762197,Mid-Range
Milford,12.660931429743478,Mid-Range
East Lyme,12.66032413395067,Mid-Range
Haddam,12.65577923391983,Mid-Range
Simsbury,12.649728090098238,Mid-Range
Canton,12.639125100635248,Mid-Range
Somers,12.637391204009504,Mid-Range
Westbrook,12.637136467688329,Mid-Range
Farmington,12.633839353451348,Mid-Range
Marlborough,12.631132492766804,Mid-Range
Cheshire,12.62807728373737,Mid-Range
Suffield,12.627932761943745,Mid-Range
North Haven,12.627603528587768,Mid-Range
Woodbury,12.623161634601189,Mid-Range
Granby,12.620471551168706,Mid-Range
Pomfret,12.588304176002316,Budget
Hebron,12.584236603419047,Budget
New Milford,12.581626046450484,Budget
Killingworth,12.57874793926217,Budget
Tolland,12.567690464153298,Budget
Bolton,12.552586071676059,Budget
Harwinton,12.544758610791453,Budget
Colebrook,12.538880015344596,Budget
